PM2.5,PM10,NO2,SO2,CO,Ozone,AQI,Date,Day,Month,Year,Holiday,Quarter,AQI_Category
408.8,442.42,160.61,12.95,2.77,43.19,462,01-01-2021,Friday,January,2021,No Holiday,Q1,Severe
404.04,561.95,52.85,5.18,2.6,16.43,482,02-01-2021,Saturday,January,2021,No Holiday,Q1,Severe
225.07,239.04,170.95,10.93,1.4,44.29,263,03-01-2021,Sunday,January,2021,Holiday,Q1,Poor
89.55,132.08,153.98,10.42,1.01,49.19,207,04-01-2021,Monday,January,2021,No Holiday,Q1,Poor
54.06,55.54,122.66,9.7,0.64,48.88,149,05-01-2021,Tuesday,January,2021,No Holiday,Q1,Moderate
155.59,180.14,142.71,10.29,1.18,44.47,252,06-01-2021,Wednesday,January,2021,No Holiday,Q1,Poor
118.39,131.18,98.87,9.81,0.73,48.6,288,07-01-2021,Thursday,January,2021,No Holiday,Q1,Poor
140.05,184.29,102.61,10.34,0.79,43.06,248,08-01-2021,Friday,January,2021,No Holiday,Q1,Poor
144.01,192.43,108.43,10.41,0.85,42.23,326,09-01-2021,Saturday,January,2021,No Holiday,Q1,Very Poor
131.57,180.38,93.31,9.92,0.69,51.96,284,10-01-2021,Sunday,January,2021,Holiday,Q1,Poor
135.92,208.99,105.07,10.49,0.75,55.06,281,11-01-2021,Monday,January,2021,No Holiday,Q1,Poor
172.48,220.74,111.52,10.21,0.91,41.69,329,12-01-2021,Tuesday,January,2021,No Holiday,Q1,Very Poor
224.71,330.04,125.83,7.27,1.22,31.49,378,13-01-2021,Wednesday,January,2021,No Holiday,Q1,Very Poor
345.82,417.42,142.59,8.49,1.75,32.11,422,14-01-2021,Thursday,January,2021,No Holiday,Q1,Severe
462.62,517.76,178.15,10.11,2.51,25.81,456,15-01-2021,Friday,January,2021,No Holiday,Q1,Severe
185.66,230.76,124.98,7.39,1.65,27.53,388,16-01-2021,Saturday,January,2021,No Holiday,Q1,Very Poor
222.01,249.23,136.15,9.56,1.4,36.8,342,17-01-2021,Sunday,January,2021,Holiday,Q1,Very Poor
232.16,318.1,210.31,14.92,1.32,28.17,401,18-01-2021,Monday,January,2021,No Holiday,Q1,Severe
227.93,299.28,185.82,12.98,1.69,23.02,400,19-01-2021,Tuesday,January,2021,No Holiday,Q1,Very Poor
159.91,193.78,142.41,7.45,0.88,31.96,322,20-01-2021,Wednesday,January,2021,No Holiday,Q1,Very Poor
